date_time,point_id,field,longitude,latitude,soil_moisture,easting,northing
2022-04-29 15:10:00,WP13,CAIONE1_DURUMWHEAT24,15.50987,41.4949,0.183125731,542558.57084965,4593823.48935038
2022-04-29 15:10:00,WP14,CAIONE1_DURUMWHEAT24,15.51002,41.49495,0.18583204825,542571.0585697859,4593829.114164216
2022-04-29 15:11:00,WP15,CAIONE1_DURUMWHEAT24,15.51021,41.49502,0.1885383655,542586.8719541336,4593836.979090431
2022-04-29 15:11:00,WP16,CAIONE1_DURUMWHEAT24,15.51005,41.49528,0.2499086875,542573.3465680461,4593865.7654050505
2022-04-29 15:12:00,WP17,CAIONE1_DURUMWHEAT24,15.50984,41.4952,0.23790322,542555.8703919753,4593856.780468986
2022-04-29 15:12:00,WP18,CAIONE1_DURUMWHEAT24,15.50966,41.49512,0.24638844025,542540.8982561134,4593847.810333713
2022-04-29 15:13:00,WP19,CAIONE1_DURUMWHEAT24,15.50945,41.49505,0.2548736605,542523.4154562897,4593839.935673173
2022-04-29 15:13:00,WP20,CAIONE1_DURUMWHEAT24,15.50925,41.49497,0.245309983,542506.7738529134,4593830.955774775
2022-04-29 15:14:00,WP21,CAIONE1_DURUMWHEAT24,15.50905,41.4949,0.2357463055,542490.1256730682,4593823.086111222
2022-04-29 15:14:00,WP22,CAIONE1_DURUMWHEAT24,15.50886,41.49482,0.22868546275,542474.3186883542,4593814.11120212
2022-04-29 15:15:00,WP23,CAIONE1_DURUMWHEAT24,15.50866,41.49474,0.22162462,542457.6769652672,4593805.1314181825
2022-04-29 15:15:00,WP24,CAIONE1_DURUMWHEAT24,15.50844,41.49467,0.230170885,542439.3592728919,4593797.252053441
2022-04-29 15:16:00,WP25,CAIONE1_DURUMWHEAT24,15.50823,41.49458,0.23871715,542421.8892916873,4593787.157249268
2022-04-29 15:16:00,WP26,CAIONE1_DURUMWHEAT24,15.50802,41.4945,0.23057785,542404.4127398282,4593778.172683847
2022-04-29 15:17:00,WP27,CAIONE1_DURUMWHEAT24,15.50783,41.49444,0.22243855,542388.5925123604,4593771.418356464
2022-04-29 15:18:00,WP28,CAIONE1_DURUMWHEAT24,15.50764,41.49436,0.2112470125,542372.7852900171,4593762.443672222
2022-04-29 15:19:00,WP29,CAIONE1_DURUMWHEAT24,15.50742,41.49428,0.200055475,542354.4739130088,4593753.454329047
2022-04-28 13:25:00,WP1,CAIONE1_DURUMWHEAT24,15.50746,41.49403,0.261263011,542357.975605179,4593725.719024523
2022-04-28 13:26:00,WP2,CAIONE1_DURUMWHEAT24,15.50765,41.49409,0.2272000405,542373.7959613716,4593732.473283358
2022-04-28 13:27:00,WP3,CAIONE1_DURUMWHEAT24,15.50785,41.49415,0.252716746,542390.4509951812,4593739.232479102
2022-04-28 13:28:00,WP4,CAIONE1_DURUMWHEAT24,15.50802,41.49423,0.242542621,542404.5888357555,4593748.197394025
