date_time,point_id,field,latitude,longitude,easting,northing,soil_moisture,soil_moisture_1,soil_moisture_2,soil_moisture_3,soil_moisture_4,soil_moisture_5,soil_moisture_6
2014-04-09 10:10:00,P_1,Triangular,48.69048,12.85465,342118.3703834121,5395269.600791289,0.1724,0.16,0.175,0.2,0.177,0.15,
2014-04-09 10:10:00,P_2,Triangular,48.69035,12.8537,342048.05492762575,5395257.118977605,0.18916666666666668,0.149,0.191,0.20600000000000002,0.18600000000000003,0.209,0.19399999999999998
2014-04-09 10:10:00,P_3,Triangular,48.69043,12.85409,342077.004630868,5395265.203066408,0.19733333333333333,0.182,0.168,0.231,0.182,0.204,0.217
2014-04-09 10:10:00,P_4,Triangular,48.69049,12.85466,342119.13754048396,5395270.691577544,0.18779999999999997,0.187,0.187,0.185,0.18899999999999997,0.191,
2014-04-09 10:10:00,P_5,Triangular,48.6905,12.85522,342160.37813252077,5395270.643638514,0.19260000000000002,0.19399999999999998,0.196,,0.20800000000000002,0.18899999999999997,0.17600000000000002
2014-04-09 10:10:00,P_6,Triangular,48.68998,12.85663,342262.5124519705,5395209.928043795,0.17920000000000003,0.174,0.165,0.18100000000000002,0.193,0.183,
2014-04-09 10:10:00,P_7,Triangular,48.68993,12.85608,342221.88231877144,5395205.508556749,0.16199999999999998,,0.187,0.13699999999999998,0.159,0.179,0.14800000000000002
2014-04-09 10:10:00,P_8,Triangular,48.68986,12.85552,342180.45369096444,5395198.887074733,0.18166666666666667,0.19899999999999998,0.182,0.213,0.165,0.142,0.18899999999999997
2014-04-09 10:10:00,P_9,Triangular,48.68982,12.85497,342139.8546558557,5395195.579671694,0.1688,0.161,0.16,0.18,0.162,0.18100000000000002,
2014-04-09 10:10:00,P_10,Triangular,48.68976,12.85442,342099.19299986726,5395190.049575252,0.19000000000000003,0.213,0.22399999999999998,0.18,0.158,0.198,0.16699999999999998
2014-04-09 10:10:00,P_11,Triangular,48.69043,12.85408,342076.2687492587,5395265.223778819,0.1878,0.19699999999999998,0.195,0.149,0.193,0.205,
2014-04-09 08:55:00,P_1,Meteo,48.69472,12.87523,343645.948879651,5395698.464498171,0.1428,0.171,0.11199999999999999,0.141,0.135,0.155,
2014-04-09 08:55:00,P_2,Meteo,48.69464,12.87481,343614.7965534963,5395690.43394398,0.12266666666666666,0.092,0.179,0.15,0.126,0.081,0.10800000000000001
2014-04-09 08:55:00,P_3,Meteo,48.69444,12.87423,343571.4990584133,5395669.393879976,0.15083333333333335,0.13699999999999998,0.129,0.159,0.162,0.21,0.10800000000000001
2014-04-09 08:55:00,P_4,Meteo,48.69448,12.87358,343523.79448586155,5395675.173700992,0.1498,0.145,0.15,0.155,0.14300000000000002,0.156,
2014-04-09 08:55:00,P_5,Meteo,48.69438,12.87307,343485.9573826371,5395665.105581676,0.1482,0.136,0.149,0.151,0.16699999999999998,0.138,
2014-04-09 08:55:00,P_6,Meteo,48.69382,12.8735,343515.86169492913,5395601.979189952,0.1224,0.122,0.105,0.10099999999999999,0.128,0.156,
2014-04-09 08:55:00,P_7,Meteo,48.69393,12.87402,343554.46597802883,5395613.138493861,0.17519999999999997,0.10300000000000001,0.20600000000000002,0.19399999999999998,0.201,0.172,
2014-04-09 08:55:00,P_8,Meteo,48.69402,12.87453,343592.2722903278,5395622.095583574,0.14400000000000002,0.135,0.17800000000000002,0.16,0.163,0.114,0.114
2014-04-09 08:55:00,P_9,Meteo,48.69416,12.87504,343630.23337352846,5395636.61040377,0.1356,0.11800000000000001,0.11900000000000001,0.147,0.14400000000000002,0.15,
2014-04-09 08:55:00,P_10,Meteo,48.69427,12.87556,343668.83715819515,5395647.770484988,0.142,0.172,0.138,0.132,0.141,0.127,
2014-04-09 10:10:00,P_1,Big,48.69616,12.87464,343606.99761527305,5395859.730025178,0.16840000000000002,0.14400000000000002,0.18,0.201,0.17300000000000001,0.14400000000000002,
2014-04-09 10:10:00,P_2,Big,48.69601,12.87398,343557.9699103456,5395844.411677598,0.17149999999999999,0.129,0.19399999999999998,0.17,0.212,0.152,0.172
2014-04-09 10:10:00,P_3,Big,48.69598,12.87352,343524.03003494604,5395842.02119973,0.19899999999999998,0.22399999999999998,0.19899999999999998,0.191,0.183,0.198,
2014-04-09 10:10:00,P_4,Big,48.69588,12.87302,343486.9298353776,5395831.932571401,0.17260000000000003,0.165,0.204,0.17,0.18,0.14400000000000002,
2014-04-09 10:10:00,P_5,Big,48.69576,12.87251,343449.0316506848,5395819.641728142,0.1858,0.16699999999999998,0.19899999999999998,0.179,0.177,0.207,
2014-04-09 10:10:00,P_6,Big,48.69567,12.872,343411.2263666559,5395810.685624368,0.1972,0.204,0.23199999999999998,0.214,0.16,0.17600000000000002,
2014-04-09 10:10:00,P_7,Big,48.69556,12.87149,343373.3588845478,5395799.50678167,0.18639999999999998,0.163,0.177,0.222,0.175,0.195,
2014-04-09 10:10:00,P_8,Big,48.69621,12.87109,343345.9441098263,5395872.57582457,0.18040000000000003,0.17300000000000001,0.16899999999999998,0.2,0.179,0.18100000000000002,
2014-04-09 10:10:00,P_9,Big,48.69633,12.87162,343385.31379966036,5395884.824884603,0.1982,0.242,0.193,0.183,0.184,0.18899999999999997,
2014-04-09 10:10:00,P_10,Big,48.69642,12.87222,343429.740802044,5395893.595970864,0.181,0.14800000000000002,0.191,0.175,0.201,0.19,
2014-04-09 10:10:00,P_11,Big,48.69652,12.87269,343464.6333428492,5395903.745811479,0.19799999999999998,0.217,0.168,0.19699999999999998,0.214,0.19399999999999998,
